"","s1"
"(Intercept)",-1.81164208378573
"sales_mil_log",0
"sales_mil_log_sq",0.474135086993036
"total_assets_bs",0.015012362001737
"fixed_assets_bs",0
"liq_assets_bs",0.0207295537457254
"curr_assets_bs",0
"share_eq_bs",0.000354509592205742
"subscribed_cap_bs",-0.0584459604139171
"intang_assets_bs",0.00912910794102512
"extra_exp_pl",0
"extra_inc_pl",0.0530310485071148
"extra_profit_loss_pl",0.0324158987439486
"inc_bef_tax_pl",-0.106655977178328
"inventories_pl",0.0659333355819827
"material_exp_pl",0.0430304154985598
"profit_loss_year_pl",0
"personnel_exp_pl",-0.0096721894148024
"extra_profit_loss_pl_quad",-0.0230610194185526
"inc_bef_tax_pl_quad",0
"profit_loss_year_pl_quad",0.0917059031791851
"share_eq_bs_quad",-0.0315119169540279
"extra_profit_loss_pl_flag_low",0
"inc_bef_tax_pl_flag_low",0
"profit_loss_year_pl_flag_low",-0.0382884289637178
"share_eq_bs_flag_low",0.0170236889309713
"extra_exp_pl_flag_high",0.0495169422391918
"extra_inc_pl_flag_high",-0.016341273241994
"inventories_pl_flag_high",0
"material_exp_pl_flag_high",0.0488904008585246
"personnel_exp_pl_flag_high",0.0249102256973511
"curr_liab_bs_flag_high",0.000624436301095502
"liq_assets_bs_flag_high",0.0399718526346198
"subscribed_cap_bs_flag_high",0.0432667142426713
"extra_profit_loss_pl_flag_high",0
"inc_bef_tax_pl_flag_high",0
"profit_loss_year_pl_flag_high",-0.0132752270880505
"share_eq_bs_flag_high",-0.00680746908904498
"extra_exp_pl_flag_error",-0.00277298217567974
"extra_inc_pl_flag_error",-0.00872278920459927
"inventories_pl_flag_error",0
"material_exp_pl_flag_error",-0.0315479794826081
"personnel_exp_pl_flag_error",-2.88501124889991e-17
"curr_liab_bs_flag_error",0.0162004901817299
"liq_assets_bs_flag_error",0.0316265198693776
"extra_profit_loss_pl_flag_zero",-0.00202904986557398
"inc_bef_tax_pl_flag_zero",0.0206288633337638
"profit_loss_year_pl_flag_zero",0.00326495903424724
"share_eq_bs_flag_zero",-0.00441374058993308
"d1_sales_mil_log_mod",-0.118931658050012
"d1_sales_mil_log_mod_sq",0.265613247515113
"flag_low_d1_sales_mil_log",-0.116398605433597
"flag_high_d1_sales_mil_log",-0.0615798572707678
"female",-0.0751622206684551
"ceo_age",-0.202335868425002
"flag_high_ceo_age",0.0611159064993486
"flag_low_ceo_age",-0.0558811693835065
"flag_miss_ceo_age",-0.0124679790946985
"ceo_count",-0.00275184679083733
"labor_avg_mod",-0.0996745875398622
"flag_miss_labor_avg",-0.033999151048338
"foreign_management",0.0251545616402877
"age",-0.354732175428506
"age2",0.234613205285329
"new",0.0100062070277911
"ind2_cat27",0.0521905571248105
"ind2_cat28",0
"ind2_cat29",0.0190153033893229
"ind2_cat30",0
"ind2_cat33",0.177628300919389
"ind2_cat55",-0.0691545446542612
"ind2_cat56",0
"m_region_locEast",-0.026375407968222
"m_region_locWest",-0.0599748415785676
"urban_m2",0
"urban_m3",0.0364027325858003
"age:ind2_cat27",0
"age:ind2_cat28",0
"age:ind2_cat29",0
"age:ind2_cat30",0
"age:ind2_cat33",0
"age:ind2_cat55",-0.115078699719752
"age:ind2_cat56",-0.275060895196084
"age2:ind2_cat27",-0.0110049586251312
"age2:ind2_cat28",0
"age2:ind2_cat29",-0.128247483074427
"age2:ind2_cat30",0
"age2:ind2_cat33",0
"age2:ind2_cat55",0
"age2:ind2_cat56",0.187199712185939
"d1_sales_mil_log_mod:ind2_cat27",-0.0159820108337338
"d1_sales_mil_log_mod:ind2_cat28",-0.040908868784311
"d1_sales_mil_log_mod:ind2_cat29",-0.0211544250780493
"d1_sales_mil_log_mod:ind2_cat30",-0.00539479161156874
"d1_sales_mil_log_mod:ind2_cat33",0.00974007972341063
"d1_sales_mil_log_mod:ind2_cat55",0.0306011933468274
"d1_sales_mil_log_mod:ind2_cat56",0.078687925855945
"sales_mil_log:ind2_cat27",0
"sales_mil_log:ind2_cat28",0.01719625552089
"sales_mil_log:ind2_cat29",-0.0184430475345647
"sales_mil_log:ind2_cat30",-0.0409274084171214
"sales_mil_log:ind2_cat33",0.123474245974626
"sales_mil_log:ind2_cat55",-0.147515477063883
"sales_mil_log:ind2_cat56",-0.0572917454562036
"ceo_age:ind2_cat27",0
"ceo_age:ind2_cat28",0
"ceo_age:ind2_cat29",0.144314193894959
"ceo_age:ind2_cat30",-0.0390411120750086
"ceo_age:ind2_cat33",0
"ceo_age:ind2_cat55",0
"ceo_age:ind2_cat56",-0.0843047161335861
"foreign_management:ind2_cat27",-0.0251010446611968
"foreign_management:ind2_cat28",0.00649262638282609
"foreign_management:ind2_cat29",0
"foreign_management:ind2_cat30",0.0325411931303374
"foreign_management:ind2_cat33",0.0228139931047394
"foreign_management:ind2_cat55",0
"foreign_management:ind2_cat56",-0.00200295282262686
"female:ind2_cat27",0.0461055116438535
"female:ind2_cat28",0.0678507300739421
"female:ind2_cat29",-0.0300936670643103
"female:ind2_cat30",-0.0119225689070554
"female:ind2_cat33",0.0251187340820936
"female:ind2_cat55",0
"female:ind2_cat56",-0.00171574776261608
"ind2_cat27:urban_m2",-0.0265937326647838
"ind2_cat28:urban_m2",0.0205307604962679
"ind2_cat29:urban_m2",0.0263978223073436
"ind2_cat30:urban_m2",0.0164562821719695
"ind2_cat33:urban_m2",0.0199786978869404
"ind2_cat55:urban_m2",0.0495854755241132
"ind2_cat56:urban_m2",-0.0889393643880978
"ind2_cat27:urban_m3",-0.0258507014151184
"ind2_cat28:urban_m3",0.0544832048354567
"ind2_cat29:urban_m3",-0.0185593946641525
"ind2_cat30:urban_m3",0.060323591366886
"ind2_cat33:urban_m3",0.00357132377950469
"ind2_cat55:urban_m3",0
"ind2_cat56:urban_m3",-0.090236008971549
"labor_avg_mod:ind2_cat27",0.0225680068324582
"labor_avg_mod:ind2_cat28",-0.0493772539577714
"labor_avg_mod:ind2_cat29",-0.0109644910954522
"labor_avg_mod:ind2_cat30",-0.0267740680356273
"labor_avg_mod:ind2_cat33",-0.0390855323557528
"labor_avg_mod:ind2_cat55",-0.0632302491447846
"labor_avg_mod:ind2_cat56",0
"sales_mil_log:age",0.0803985393165259
"sales_mil_log:female",0
"sales_mil_log:profit_loss_year_pl",-0.046127532985919
"sales_mil_log:foreign_management",-0.0184205663431392
